  es_dec_l0.01 step 52500/104950  val 0.007726  104 ms/step  eta 1.51 h
  es_dec_l0.01 step 53000/104950  val 0.007716  104 ms/step  eta 1.50 h
  es_dec_l0.01 step 53500/104950  val 0.007669  104 ms/step  eta 1.48 h
  es_dec_l0.01 step 54000/104950  val 0.007700  104 ms/step  eta 1.47 h
  es_dec_l0.01 step 54500/104950  val 0.007693  104 ms/step  eta 1.45 h
  es_dec_l0.01 step 55000/104950  val 0.007693  104 ms/step  eta 1.44 h
  es_dec_l0.01 step 55500/104950  val 0.007710  104 ms/step  eta 1.42 h
  es_dec_l0.01 step 56000/104950  val 0.007731  104 ms/step  eta 1.41 h
  es_dec_l0.01 step 56500/104950  val 0.007905  104 ms/step  eta 1.40 h
  es_dec_l0.01 step 57000/104950  val 0.007674  104 ms/step  eta 1.38 h
  es_dec_l0.01 step 57500/104950  val 0.007692  104 ms/step  eta 1.37 h
  es_dec_l0.01 step 58000/104950  val 0.008004  104 ms/step  eta 1.35 h
  es_dec_l0.01 step 58500/104950  val 0.007699  104 ms/step  eta 1.34 h
  es_dec_l0.01 step 59000/104950  val 0.007690  104 ms/step  eta 1.32 h
  es_dec_l0.01 step 59500/104950  val 0.007754  104 ms/step  eta 1.31 h
  es_dec_l0.01 step 60000/104950  val 0.007684  104 ms/step  eta 1.29 h
  es_dec_l0.01 step 60500/104950  val 0.007648  104 ms/step  eta 1.28 h
  es_dec_l0.01 step 61000/104950  val 0.007694  104 ms/step  eta 1.27 h
  es_dec_l0.01 step 61500/104950  val 0.007832  104 ms/step  eta 1.25 h
  es_dec_l0.01 step 62000/104950  val 0.007706  104 ms/step  eta 1.24 h
  es_dec_l0.01 step 62500/104950  val 0.007763  104 ms/step  eta 1.22 h
  es_dec_l0.01 step 63000/104950  val 0.007658  104 ms/step  eta 1.21 h
  es_dec_l0.01 step 63500/104950  val 0.007654  104 ms/step  eta 1.19 h
  es_dec_l0.01 step 64000/104950  val 0.007650  104 ms/step  eta 1.18 h
  es_dec_l0.01 step 64500/104950  val 0.007647  104 ms/step  eta 1.17 h
  es_dec_l0.01 step 65000/104950  val 0.007630  104 ms/step  eta 1.15 h
  es_dec_l0.01 step 65500/104950  val 0.007640  104 ms/step  eta 1.14 h
  es_dec_l0.01 step 66000/104950  val 0.007629  104 ms/step  eta 1.12 h
  es_dec_l0.01 step 66500/104950  val 0.007647  104 ms/step  eta 1.11 h
  es_dec_l0.01 step 67000/104950  val 0.007646  104 ms/step  eta 1.09 h
  es_dec_l0.01 step 67500/104950  val 0.007637  104 ms/step  eta 1.08 h
  es_dec_l0.01 step 68000/104950  val 0.007638  104 ms/step  eta 1.06 h
  es_dec_l0.01 step 68500/104950  val 0.007638  104 ms/step  eta 1.05 h
  es_dec_l0.01 step 69000/104950  val 0.007634  104 ms/step  eta 1.04 h
  es_dec_l0.01 step 69500/104950  val 0.007612  104 ms/step  eta 1.02 h
  es_dec_l0.01 step 70000/104950  val 0.007624  104 ms/step  eta 1.01 h
  es_dec_l0.01 step 70500/104950  val 0.007615  104 ms/step  eta 0.99 h
  es_dec_l0.01 step 71000/104950  val 0.007619  104 ms/step  eta 0.98 h
  es_dec_l0.01 step 71500/104950  val 0.007632  104 ms/step  eta 0.96 h
  es_dec_l0.01 step 72000/104950  val 0.007636  104 ms/step  eta 0.95 h
  es_dec_l0.01 step 72500/104950  val 0.007626  104 ms/step  eta 0.93 h
  es_dec_l0.01 step 73000/104950  val 0.007617  104 ms/step  eta 0.92 h
  es_dec_l0.01 step 73500/104950  val 0.007610  104 ms/step  eta 0.91 h
  es_dec_l0.01 step 74000/104950  val 0.007600  104 ms/step  eta 0.89 h
  es_dec_l0.01 step 74500/104950  val 0.007615  104 ms/step  eta 0.88 h
  es_dec_l0.01 step 75000/104950  val 0.007601  104 ms/step  eta 0.86 h
  es_dec_l0.01 step 75500/104950  val 0.007605  104 ms/step  eta 0.85 h
  es_dec_l0.01 step 76000/104950  val 0.007629  104 ms/step  eta 0.83 h
  es_dec_l0.01 step 76500/104950  val 0.007614  104 ms/step  eta 0.82 h
  es_dec_l0.01 step 77000/104950  val 0.007609  104 ms/step  eta 0.80 h
  es_dec_l0.01 step 77500/104950  val 0.007631  104 ms/step  eta 0.79 h
  es_dec_l0.01 step 78000/104950  val 0.007602  104 ms/step  eta 0.78 h
  es_dec_l0.01 step 78500/104950  val 0.007637  104 ms/step  eta 0.76 h
  es_dec_l0.01 step 79000/104950  val 0.007609  104 ms/step  eta 0.75 h
  es_dec_l0.01 step 79500/104950  val 0.007614  104 ms/step  eta 0.73 h
  es_dec_l0.01 step 80000/104950  val 0.007637  104 ms/step  eta 0.72 h
  es_dec_l0.01 step 80500/104950  val 0.007602  104 ms/step  eta 0.70 h
  es_dec_l0.01 step 81000/104950  val 0.007636  104 ms/step  eta 0.69 h
  es_dec_l0.01 step 81500/104950  val 0.007648  104 ms/step  eta 0.68 h
  es_dec_l0.01 step 82000/104950  val 0.007628  104 ms/step  eta 0.66 h
